"age","cuentaPropia","estrato1","formal","ingtot","maxEducLevel","parentesco_jhogar","tiempo_trabajando","otro_trabajo","relab","gender","sizeFirm","totalHoursWorked","y_salary_m","y_salary_m_hu","y_ingLab_m","y_primaServicios_m","y_ingLab_m_ha","y_total_m","y_total_m_ha","female","H_Head","mean_ingtot","log_ingtot"
32,"0","2","0",820857,"6","1",5,"2","1","0","5",48,737717,3586.12426757812,820857,1117460.30167986,3990.27709960938,820857,3990.27709960938,"1","1",1131978.87310825,13.6181041954319
62,"0","2","0",1550000,"4","1",1,"2","1","1","2",84,1200000,3333.33325195312,1200000,1117460.30167986,3333.33325195312,1200000,3333.33325195312,"0","1",1131978.87310825,14.2537654888954
24,"0","2","1",1693140,"7","1",1,"2","1","1","5",48,1400000,6805.5556640625,1693140,720000,8230.5419921875,1693140,8230.5419921875,"0","1",1131978.87310825,14.34209535114
43,"0","3","1",3150000,"7","2",144,"2","2","0","5",30,2800000,21777.77734375,3150000,1400000,24500,3150000,24500,"1","0",1636072.34663713,14.9629130108018
55,"0","3","1",2925000,"7","1",144,"2","2","1","5",30,2600000,20222.22265625,2925000,1300000,22750,2925000,22750,"0","1",1636072.34663713,14.8888050386481
73,"0","2","1",1587717,"4","1",96,"2","3","0","1",40,737717,4303.34912109375,737717,1117460.30167986,4303.34912109375,737717,4303.34912109375,"1","1",1131978.87310825,14.2778076933207
51,"0","2","0",1e+06,"5","3",60,"2","1","1","2",48,1e+06,4861.111328125,1e+06,1117460.30167986,4861.111328125,1e+06,4861.111328125,"0","0",1131978.87310825,13.8155105579643
76,"1","2","0",80000,"3","1",360,"2","4","0","1",30,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,80000,622.222229003906,"1","1",1131978.87310825,11.289781913656
47,"1","3","0",5e+05,"6","3",120,"2","4","1","1",60,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,5e+05,1944.44445800781,"0","0",1636072.34663713,13.1223633774043
56,"1","3","0",780000,"6","3",6,"2","4","0","1",8,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,180000,5250,"1","0",1636072.34663713,13.5670491986658
47,"0","3","1",882523.666666667,"6","3",108,"2","1","0","5",48,737717,3586.12426757812,882523.6875,740000,4290.0458984375,882523.6875,4290.0458984375,"1","0",1636072.34663713,13.6905408851826
29,"0","3","1",1237140,"6","4",14,"2","1","0","4",40,9e+05,5250,1087140,9e+05,6341.64990234375,1087140,6341.64990234375,"1","0",1636072.34663713,14.0283128220118
52,"0","3","0",2500000,"6","1",300,"2","5","0","2",54,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1617550.51747336,8541.87432821598,"1","1",1636072.34663713,14.7318012898384
63,"0","3","0",7216666.66666667,"6","1",420,"2","5","1","2",48,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,6e+06,29166.666015625,"0","1",1636072.34663713,15.7919037237447
25,"0","3","1",1551473.33333333,"6","6",48,"2","3","0","1",60,625000,2430.5556640625,741473.3125,4e+05,2883.50732421875,741473.3125,2883.50732421875,"1","0",1636072.34663713,14.254715575055
32,"1","3","1",1e+06,"7","1",36,"2","4","1","1",50,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1e+06,4666.66650390625,"0","1",1636072.34663713,13.8155105579643
24,"0","3","1",935166.666666667,"6","2",24,"2","1","0","5",48,781000,3796.52783203125,935166.6875,878000,4545.94921875,935166.6875,4545.94921875,"1","0",1636072.34663713,13.7484800455051
27,"0","3","1",941166.666666667,"6","1",24,"2","1","1","5",48,781000,3796.52783203125,941166.6875,878000,4575.11572265625,941166.6875,4575.11572265625,"0","1",1636072.34663713,13.7548755194269
